start_date,end_date,national_total,districts
2009-01-10,2009-01-16,181,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 39}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 19}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 11}, {'district': <District.Kandy: 'Kandy'>, 'cases': 42}, {'district': <District.Matale: 'Matale'>, 'cases': 9}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 1}, {'district': <District.Galle: 'Galle'>, 'cases': 2}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 3}, {'district': <District.Matara: 'Matara'>, 'cases': 18}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 1}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 0}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 0}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 10}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 2}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 0}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 0}, {'district': <District.Badulla: 'Badulla'>, 'cases': 1}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 0}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 2}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 21}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2012-08-25,2012-08-31,647,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 152}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 73}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 25}, {'district': <District.Kandy: 'Kandy'>, 'cases': 55}, {'district': <District.Matale: 'Matale'>, 'cases': 21}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 5}, {'district': <District.Galle: 'Galle'>, 'cases': 34}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 13}, {'district': <District.Matara: 'Matara'>, 'cases': 26}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 7}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 1}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 6}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 2}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 1}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 46}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 46}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 8}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 4}, {'district': <District.Badulla: 'Badulla'>, 'cases': 4}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 3}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 57}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 58}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2017-02-04,2017-02-10,1165,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 417}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 20}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 50}, {'district': <District.Kandy: 'Kandy'>, 'cases': 25}, {'district': <District.Matale: 'Matale'>, 'cases': 8}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 9}, {'district': <District.Galle: 'Galle'>, 'cases': 28}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 24}, {'district': <District.Matara: 'Matara'>, 'cases': 118}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 56}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 6}, {'district': <District.Mannar: 'Mannar'>, 'cases': 22}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 18}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 27}, {'district': <District.Ampara: 'Ampara'>, 'cases': 2}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 132}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 37}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 9}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 11}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 17}, {'district': <District.Badulla: 'Badulla'>, 'cases': 32}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 20}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 34}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 31}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 12}]"
2008-04-05,2008-04-11,155,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 41}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 31}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 12}, {'district': <District.Kandy: 'Kandy'>, 'cases': 7}, {'district': <District.Matale: 'Matale'>, 'cases': 3}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 0}, {'district': <District.Galle: 'Galle'>, 'cases': 3}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 2}, {'district': <District.Matara: 'Matara'>, 'cases': 3}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 2}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 7}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 11}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 7}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 7}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 3}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 3}, {'district': <District.Badulla: 'Badulla'>, 'cases': 1}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 1}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 1}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 9}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 1}]"
2019-08-03,2019-08-09,1965,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 401}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 318}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 196}, {'district': <District.Kandy: 'Kandy'>, 'cases': 154}, {'district': <District.Matale: 'Matale'>, 'cases': 16}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 7}, {'district': <District.Galle: 'Galle'>, 'cases': 246}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 53}, {'district': <District.Matara: 'Matara'>, 'cases': 223}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 20}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 2}, {'district': <District.Mannar: 'Mannar'>, 'cases': 2}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 4}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 19}, {'district': <District.Ampara: 'Ampara'>, 'cases': 3}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 15}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 47}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 32}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 12}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 9}, {'district': <District.Badulla: 'Badulla'>, 'cases': 36}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 11}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 85}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 48}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 6}]"
2007-09-08,2007-09-14,166,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 54}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 17}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 14}, {'district': <District.Kandy: 'Kandy'>, 'cases': 6}, {'district': <District.Matale: 'Matale'>, 'cases': 1}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 1}, {'district': <District.Galle: 'Galle'>, 'cases': 1}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 2}, {'district': <District.Matara: 'Matara'>, 'cases': 5}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 0}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 2}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 1}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 0}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 32}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 3}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 5}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 1}, {'district': <District.Badulla: 'Badulla'>, 'cases': 1}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 2}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 14}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 4}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2015-05-02,2015-05-08,213,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 107}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 22}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 11}, {'district': <District.Kandy: 'Kandy'>, 'cases': 13}, {'district': <District.Matale: 'Matale'>, 'cases': 1}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 2}, {'district': <District.Galle: 'Galle'>, 'cases': 0}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 1}, {'district': <District.Matara: 'Matara'>, 'cases': 3}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 6}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 14}, {'district': <District.Ampara: 'Ampara'>, 'cases': 1}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 12}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 3}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 2}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 1}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 0}, {'district': <District.Badulla: 'Badulla'>, 'cases': 3}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 1}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 5}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 5}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2010-05-22,2010-05-28,278,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 61}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 7}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 23}, {'district': <District.Kandy: 'Kandy'>, 'cases': 18}, {'district': <District.Matale: 'Matale'>, 'cases': 13}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 1}, {'district': <District.Galle: 'Galle'>, 'cases': 30}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 3}, {'district': <District.Matara: 'Matara'>, 'cases': 8}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 11}, {'district': <District.Mannar: 'Mannar'>, 'cases': 4}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 10}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 3}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 20}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 5}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 2}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 0}, {'district': <District.Badulla: 'Badulla'>, 'cases': 2}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 3}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 46}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 7}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2018-06-09,2018-06-15,1079,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 220}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 110}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 93}, {'district': <District.Kandy: 'Kandy'>, 'cases': 94}, {'district': <District.Matale: 'Matale'>, 'cases': 24}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 3}, {'district': <District.Galle: 'Galle'>, 'cases': 28}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 16}, {'district': <District.Matara: 'Matara'>, 'cases': 12}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 64}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 5}, {'district': <District.Mannar: 'Mannar'>, 'cases': 1}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 10}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 3}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 147}, {'district': <District.Ampara: 'Ampara'>, 'cases': 20}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 36}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 33}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 23}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 28}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 11}, {'district': <District.Badulla: 'Badulla'>, 'cases': 10}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 11}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 35}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 19}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 23}]"
2011-03-26,2011-04-01,188,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 99}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 18}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 2}, {'district': <District.Kandy: 'Kandy'>, 'cases': 13}, {'district': <District.Matale: 'Matale'>, 'cases': 2}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 5}, {'district': <District.Galle: 'Galle'>, 'cases': 9}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 4}, {'district': <District.Matara: 'Matara'>, 'cases': 5}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 0}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 2}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 4}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 3}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 4}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 1}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 1}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 0}, {'district': <District.Badulla: 'Badulla'>, 'cases': 0}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 1}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 12}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 2}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 1}]"
2012-11-03,2012-11-09,526,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 45}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 95}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 42}, {'district': <District.Kandy: 'Kandy'>, 'cases': 50}, {'district': <District.Matale: 'Matale'>, 'cases': 11}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 4}, {'district': <District.Galle: 'Galle'>, 'cases': 7}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 18}, {'district': <District.Matara: 'Matara'>, 'cases': 39}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 27}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 2}, {'district': <District.Mannar: 'Mannar'>, 'cases': 3}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 4}, {'district': <District.Ampara: 'Ampara'>, 'cases': 1}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 4}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 56}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 31}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 2}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 3}, {'district': <District.Badulla: 'Badulla'>, 'cases': 7}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 3}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 45}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 25}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 1}]"
2023-11-28,2023-12-03,1035,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 167}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 178}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 345}, {'district': <District.Kandy: 'Kandy'>, 'cases': 185}, {'district': <District.Matale: 'Matale'>, 'cases': 61}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 2}, {'district': <District.Galle: 'Galle'>, 'cases': 81}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 7}, {'district': <District.Matara: 'Matara'>, 'cases': 19}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 24}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 3}, {'district': <District.Mannar: 'Mannar'>, 'cases': 3}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 4}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 2}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 16}, {'district': <District.Ampara: 'Ampara'>, 'cases': 6}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 8}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 1}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 74}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 27}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 8}, {'district': <District.Badulla: 'Badulla'>, 'cases': 3}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 41}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 11}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 19}]"
2013-02-09,2013-02-15,502,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 124}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 29}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 32}, {'district': <District.Kandy: 'Kandy'>, 'cases': 32}, {'district': <District.Matale: 'Matale'>, 'cases': 7}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 4}, {'district': <District.Galle: 'Galle'>, 'cases': 20}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 14}, {'district': <District.Matara: 'Matara'>, 'cases': 16}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 17}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 2}, {'district': <District.Mannar: 'Mannar'>, 'cases': 2}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 1}, {'district': <District.Ampara: 'Ampara'>, 'cases': 3}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 5}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 43}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 16}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 15}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 13}, {'district': <District.Badulla: 'Badulla'>, 'cases': 14}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 2}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 25}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 26}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 39}]"
2019-10-05,2019-10-11,2340,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 582}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 357}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 215}, {'district': <District.Kandy: 'Kandy'>, 'cases': 316}, {'district': <District.Matale: 'Matale'>, 'cases': 34}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 10}, {'district': <District.Galle: 'Galle'>, 'cases': 97}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 47}, {'district': <District.Matara: 'Matara'>, 'cases': 110}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 92}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 6}, {'district': <District.Mannar: 'Mannar'>, 'cases': 5}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 16}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 3}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 39}, {'district': <District.Ampara: 'Ampara'>, 'cases': 12}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 5}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 59}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 72}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 15}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 14}, {'district': <District.Badulla: 'Badulla'>, 'cases': 37}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 0}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 114}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 73}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 10}]"
2007-11-17,2007-11-23,213,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 54}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 38}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 9}, {'district': <District.Kandy: 'Kandy'>, 'cases': 8}, {'district': <District.Matale: 'Matale'>, 'cases': 3}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 0}, {'district': <District.Galle: 'Galle'>, 'cases': 4}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 2}, {'district': <District.Matara: 'Matara'>, 'cases': 13}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 4}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 0}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 0}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 32}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 23}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 7}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 1}, {'district': <District.Badulla: 'Badulla'>, 'cases': 2}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 1}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 5}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 6}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 1}]"
2024-06-29,2024-07-05,875,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 245}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 103}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 63}, {'district': <District.Kandy: 'Kandy'>, 'cases': 91}, {'district': <District.Matale: 'Matale'>, 'cases': 13}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 10}, {'district': <District.Galle: 'Galle'>, 'cases': 32}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 10}, {'district': <District.Matara: 'Matara'>, 'cases': 13}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 20}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 3}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 1}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 15}, {'district': <District.Ampara: 'Ampara'>, 'cases': 7}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 10}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 47}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 27}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 3}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 13}, {'district': <District.Badulla: 'Badulla'>, 'cases': 21}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 13}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 58}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 40}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 16}]"
